1,2,3,4,5,6,y,class_id
320,319,274,537,479,399,508,178529
319,274,537,479,399,508,393,178529
274,537,479,399,508,393,531,178529
537,479,399,508,393,531,296,178529
479,399,508,393,531,296,200,178529
399,508,393,531,296,200,239,178529
508,393,531,296,200,239,229,178529
393,531,296,200,239,229,166,178529
531,296,200,239,229,166,194,178529
296,200,239,229,166,194,200,178529
200,239,229,166,194,200,223,178529
239,229,166,194,200,223,222,178529
229,166,194,200,223,222,387,178529
166,194,200,223,222,387,182,178529
194,200,223,222,387,182,451,178529
200,223,222,387,182,451,331,178529
223,222,387,182,451,331,331,178529
222,387,182,451,331,331,188,178529
387,182,451,331,331,188,177,178529
182,451,331,331,188,177,177,178529
451,331,331,188,177,177,108,178529
331,331,188,177,177,108,165,178529
331,188,177,177,108,165,148,178529
25,17,42,100,125,108,100,186250
17,42,100,125,108,100,208,186250
42,100,125,108,100,208,224,186250
100,125,108,100,208,224,274,186250
125,108,100,208,224,274,332,186250
108,100,208,224,274,332,125,186250
100,208,224,274,332,125,133,186250
208,224,274,332,125,133,158,186250
224,274,332,125,133,158,116,186250
274,332,125,133,158,116,174,186250
332,125,133,158,116,174,42,186250
125,133,158,116,174,42,125,186250
133,158,116,174,42,125,108,186250
158,116,174,42,125,108,83,186250
116,174,42,125,108,83,83,186250
239.0,239.0,239.0,239.0,239.0,239.0,378.0,194201.0
65,59,30,18,59,36,36,194450
59,30,18,59,36,36,24,194450
30,18,59,36,36,24,42,194450
18,59,36,36,24,42,42,194450
59,36,36,24,42,42,95,194450
36,36,24,42,42,95,65,194450
36,24,42,42,95,65,106,194450
24,42,42,95,65,106,77,194450
42,42,95,65,106,77,65,194450
42,95,65,106,77,65,48,194450
95,65,106,77,65,48,77,194450
65,106,77,65,48,77,42,194450
106,77,65,48,77,42,54,194450
77,65,48,77,42,54,24,194450
65,48,77,42,54,24,36,194450
48,77,42,54,24,36,30,194450
77,42,54,24,36,30,30,194450
42,54,24,36,30,30,30,194450
54,24,36,30,30,30,71,194450
24,36,30,30,30,71,30,194450
36,30,30,30,71,30,47,194450
30,30,30,71,30,47,36,194450
30,30,71,30,47,36,36,194450
30,71,30,47,36,36,41,194450
71,30,47,36,36,41,36,194450
30,47,36,36,41,36,18,194450
47,36,36,41,36,18,65,194450
36,36,41,36,18,65,36,194450
36,41,36,18,65,36,24,194450
41,36,18,65,36,24,36,194450
36,18,65,36,24,36,30,194450
18,65,36,24,36,30,65,194450
65,36,24,36,30,65,36,194450
36,24,36,30,65,36,12,194450
24,36,30,65,36,12,12,194450
36,30,65,36,12,12,12,194450
30,65,36,12,12,12,6,194450
65,36,12,12,12,6,54,194450
36,12,12,12,6,54,131,194450
12,12,12,6,54,131,178,194450
12,12,6,54,131,178,130,194450
12,6,54,131,178,130,237,194450
6,54,131,178,130,237,125,194450
54,131,178,130,237,125,148,194450
131,178,130,237,125,148,230,194450
178,130,237,125,148,230,148,194450
130,237,125,148,230,148,166,194450
237,125,148,230,148,166,225,194450
125,148,230,148,166,225,324,194450
148,230,148,166,225,324,348,194450
230,148,166,225,324,348,242,194450
148,166,225,324,348,242,319,194450
166,225,324,348,242,319,561,194450
225,324,348,242,319,561,201,194450
324,348,242,319,561,201,165,194450
348,242,319,561,201,165,153,194450
242,319,561,201,165,153,218,194450
319,561,201,165,153,218,195,194450
561,201,165,153,218,195,159,194450
201,165,153,218,195,159,325,194450
165,153,218,195,159,325,189,194450
153,218,195,159,325,189,307,194450
218,195,159,325,189,307,271,194450
47,21,10,10,10,21,5,198427
21,10,10,10,21,5,10,198427
10,10,10,21,5,10,16,198427
10,10,21,5,10,16,31,198427
10,21,5,10,16,31,26,198427
21,5,10,16,31,26,10,198427
5,10,16,31,26,10,5,198427
10,16,31,26,10,5,5,198427
16,31,26,10,5,5,16,198427
31,26,10,5,5,16,5,198427
26,10,5,5,16,5,16,198427
10,5,5,16,5,16,10,198427
5,5,16,5,16,10,16,198427
5,16,5,16,10,16,57,198427
16,5,16,10,16,57,47,198427
5,16,10,16,57,47,26,198427
16,10,16,57,47,26,36,198427
10,16,57,47,26,36,104,198427
16,57,47,26,36,104,47,198427
57,47,26,36,104,47,78,198427
47,26,36,104,47,78,57,198427
26,36,104,47,78,57,73,198427
36,104,47,78,57,73,114,198427
104,47,78,57,73,114,68,198427
47,78,57,73,114,68,161,198427
78,57,73,114,68,161,94,198427
57,73,114,68,161,94,42,198427
73,114,68,161,94,42,140,198427
114,68,161,94,42,140,119,198427
68,161,94,42,140,119,119,198427
161,94,42,140,119,119,135,198427
94,42,140,119,119,135,135,198427
42,140,119,119,135,135,109,198427
140,119,119,135,135,109,156,198427
119,119,135,135,109,156,208,198427
119,135,135,109,156,208,187,198427
135,135,109,156,208,187,317,198427
135,109,156,208,187,317,167,198427
109,156,208,187,317,167,135,198427
156,208,187,317,167,135,151,198427
208,187,317,167,135,151,171,198427
187,317,167,135,151,171,83,198427
317,167,135,151,171,83,109,198427
167,135,151,171,83,109,83,198427
135,151,171,83,109,83,84,198427
151,171,83,109,83,84,125,198427
171,83,109,83,84,125,99,198427
19,108,165,417,620,670,1126,206765
108,165,417,620,670,1126,670,206765
165,417,620,670,1126,670,844,206765
417,620,670,1126,670,844,796,206765
620,670,1126,670,844,796,1068,206765
670,1126,670,844,796,1068,1261,206765
1126,670,844,796,1068,1261,1280,206765
670,844,796,1068,1261,1280,1523,206765
844,796,1068,1261,1280,1523,1678,206765
796,1068,1261,1280,1523,1678,1581,206765
1068,1261,1280,1523,1678,1581,1592,206765
1261,1280,1523,1678,1581,1592,2571,206765
1280,1523,1678,1581,1592,2571,767,206765
1523,1678,1581,1592,2571,767,912,206765
1678,1581,1592,2571,767,912,2086,206765
1581,1592,2571,767,912,2086,1659,206765
1592,2571,767,912,2086,1659,2523,206765
2571,767,912,2086,1659,2523,1940,206765
767,912,2086,1659,2523,1940,1979,206765
912,2086,1659,2523,1940,1979,1950,206765
2086,1659,2523,1940,1979,1950,2347,206765
1659,2523,1940,1979,1950,2347,2057,206765
168,107,206,198,221,213,243,209945
107,206,198,221,213,243,252,209945
206,198,221,213,243,252,274,209945
198,221,213,243,252,274,342,209945
221,213,243,252,274,342,205,209945
213,243,252,274,342,205,107,209945
243,252,274,342,205,107,283,209945
252,274,342,205,107,283,114,209945
274,342,205,107,283,114,122,209945
342,205,107,283,114,122,168,209945
205,107,283,114,122,168,236,209945
107,283,114,122,168,236,174,209945
283,114,122,168,236,174,265,209945
114,122,168,236,174,265,327,209945
122,168,236,174,265,327,335,209945
168,236,174,265,327,335,198,209945
236,174,265,327,335,198,267,209945
174,265,327,335,198,267,221,209945
265,327,335,198,267,221,343,209945
327,335,198,267,221,343,191,209945
335,198,267,221,343,191,236,209945
198,267,221,343,191,236,282,209945
267,221,343,191,236,282,282,209945
221,343,191,236,282,282,311,209945
343,191,236,282,282,311,358,209945
191,236,282,282,311,358,297,209945
236,282,282,311,358,297,396,209945
282,282,311,358,297,396,320,209945
282,311,358,297,396,320,289,209945
311,358,297,396,320,289,304,209945
358,297,396,320,289,304,608,209945
297,396,320,289,304,608,312,209945
396,320,289,304,608,312,260,209945
320,289,304,608,312,260,388,209945
289,304,608,312,260,388,450,209945
304,608,312,260,388,450,327,209945
608,312,260,388,450,327,343,209945
312,260,388,450,327,343,493,209945
260,388,450,327,343,493,563,209945
388,450,327,343,493,563,562,209945
450,327,343,493,563,562,517,209945
327,343,493,563,562,517,351,209945
343,493,563,562,517,351,319,209945
493,563,562,517,351,319,174,209945
563,562,517,351,319,174,426,209945
562,517,351,319,174,426,503,209945
517,351,319,174,426,503,379,209945
351,319,174,426,503,379,440,209945
319,174,426,503,379,440,532,209945
174,426,503,379,440,532,471,209945
426,503,379,440,532,471,562,209945
503,379,440,532,471,562,319,209945
379,440,532,471,562,319,395,209945
440,532,471,562,319,395,273,209945
532,471,562,319,395,273,395,209945
471,562,319,395,273,395,266,209945
562,319,395,273,395,266,403,209945
319,395,273,395,266,403,342,209945
395,273,395,266,403,342,357,209945
273,395,266,403,342,357,243,209945
395,266,403,342,357,243,198,209945
266,403,342,357,243,198,206,209945
403,342,357,243,198,206,273,209945
342,357,243,198,206,273,91,209945
15,50,65,110,125,200,200,219195
50,65,110,125,200,200,135,219195
65,110,125,200,200,135,205,219195
110,125,200,200,135,205,150,219195
125,200,200,135,205,150,130,219195
200,200,135,205,150,130,165,219195
200,135,205,150,130,165,180,219195
135,205,150,130,165,180,220,219195
205,150,130,165,180,220,255,219195
150,130,165,180,220,255,185,219195
130,165,180,220,255,185,250,219195
165,180,220,255,185,250,430,219195
180,220,255,185,250,430,150,219195
220,255,185,250,430,150,250,219195
255,185,250,430,150,250,210,219195
185,250,430,150,250,210,230,219195
250,430,150,250,210,230,140,219195
430,150,250,210,230,140,210,219195
150,250,210,230,140,210,240,219195
250,210,230,140,210,240,230,219195
210,230,140,210,240,230,435,219195
230,140,210,240,230,435,490,219195
140,210,240,230,435,490,630,219195
210,240,230,435,490,630,265,219195
240,230,435,490,630,265,275,219195
230,435,490,630,265,275,260,219195
435,490,630,265,275,260,200,219195
490,630,265,275,260,200,240,219195
630,265,275,260,200,240,130,219195
265,275,260,200,240,130,220,219195
275,260,200,240,130,220,155,219195
260,200,240,130,220,155,160,219195
200,240,130,220,155,160,125,219195
9,91,45,136,109,92,110,221795
91,45,136,109,92,110,173,221795
45,136,109,92,110,173,81,221795
136,109,92,110,173,81,218,221795
109,92,110,173,81,218,119,221795
92,110,173,81,218,119,82,221795
110,173,81,218,119,82,164,221795
173,81,218,119,82,164,155,221795
81,218,119,82,164,155,209,221795
218,119,82,164,155,209,237,221795
119,82,164,155,209,237,319,221795
82,164,155,209,237,319,300,221795
164,155,209,237,319,300,310,221795
155,209,237,319,300,310,245,221795
209,237,319,300,310,245,136,221795
237,319,300,310,245,136,282,221795
319,300,310,245,136,282,146,221795
300,310,245,136,282,146,182,221795
310,245,136,282,146,182,218,221795
245,136,282,146,182,218,301,221795
136,282,146,182,218,301,219,221795
282,146,182,218,301,219,201,221795
146,182,218,301,219,201,200,221795
182,218,301,219,201,200,228,221795
218,301,219,201,200,228,237,221795
301,219,201,200,228,237,228,221795
219,201,200,228,237,228,236,221795
201,200,228,237,228,236,365,221795
200,228,237,228,236,365,201,221795
228,237,228,236,365,201,274,221795
237,228,236,365,201,274,391,221795
228,236,365,201,274,391,336,221795
236,365,201,274,391,336,355,221795
365,201,274,391,336,355,374,221795
201,274,391,336,355,374,446,221795
274,391,336,355,374,446,401,221795
391,336,355,374,446,401,246,221795
336,355,374,446,401,246,228,221795
355,374,446,401,246,228,391,221795
374,446,401,246,228,391,155,221795
446,401,246,228,391,155,127,221795
401,246,228,391,155,127,355,221795
246,228,391,155,127,355,337,221795
228,391,155,127,355,337,392,221795
391,155,127,355,337,392,227,221795
155,127,355,337,392,227,309,221795
127,355,337,392,227,309,400,221795
355,337,392,227,309,400,337,221795
337,392,227,309,400,337,391,221795
6,17,117,78,94,160,116,245609
17,117,78,94,160,116,161,245609
117,78,94,160,116,161,238,245609
78,94,160,116,161,238,34,245609
94,160,116,161,238,34,72,245609
160,116,161,238,34,72,139,245609
116,161,238,34,72,139,73,245609
161,238,34,72,139,73,105,245609
238,34,72,139,73,105,106,245609
34,72,139,73,105,106,72,245609
72,139,73,105,106,72,122,245609
139,73,105,106,72,122,99,245609
73,105,106,72,122,99,121,245609
1713,1117,1293,1192,1310,881,1202,248352
1117,1293,1192,1310,881,1202,975,248352
1293,1192,1310,881,1202,975,1177,248352
1192,1310,881,1202,975,1177,1327,248352
1310,881,1202,975,1177,1327,1126,248352
881,1202,975,1177,1327,1126,2050,248352
1202,975,1177,1327,1126,2050,1428,248352
975,1177,1327,1126,2050,1428,1099,248352
1177,1327,1126,2050,1428,1099,747,248352
1327,1126,2050,1428,1099,747,916,248352
1126,2050,1428,1099,747,916,1066,248352
2050,1428,1099,747,916,1066,731,248352
1428,1099,747,916,1066,731,847,248352
1099,747,916,1066,731,847,639,248352
747,916,1066,731,847,639,722,248352
916,1066,731,847,639,722,1040,248352
1066,731,847,639,722,1040,765,248352
731,847,639,722,1040,765,1100,248352
847,639,722,1040,765,1100,1629,248352
639,722,1040,765,1100,1629,713,248352
722,1040,765,1100,1629,713,815,248352
1040,765,1100,1629,713,815,891,248352
765,1100,1629,713,815,891,723,248352
1100,1629,713,815,891,723,596,248352
1629,713,815,891,723,596,654,248352
713,815,891,723,596,654,612,248352
815,891,723,596,654,612,1151,248352
891,723,596,654,612,1151,866,248352
723,596,654,612,1151,866,747,248352
596,654,612,1151,866,747,1300,248352
654,612,1151,866,747,1300,1697,248352
612,1151,866,747,1300,1697,1453,248352
1151,866,747,1300,1697,1453,873,248352
866,747,1300,1697,1453,873,724,248352
747,1300,1697,1453,873,724,966,248352
1300,1697,1453,873,724,966,653,248352
1697,1453,873,724,966,653,747,248352
1453,873,724,966,653,747,906,248352
873,724,966,653,747,906,1419,248352
724,966,653,747,906,1419,2362,248352
966,653,747,906,1419,2362,916,248352
653,747,906,1419,2362,916,2570,248352
747,906,1419,2362,916,2570,1437,248352
906,1419,2362,916,2570,1437,1125,248352
1419,2362,916,2570,1437,1125,940,248352
2362,916,2570,1437,1125,940,269,248352
916,2570,1437,1125,940,269,655,248352
2570,1437,1125,940,269,655,823,248352
1437,1125,940,269,655,823,261,248352
1125,940,269,655,823,261,486,248352
940,269,655,823,261,486,554,248352
269,655,823,261,486,554,428,248352
655,823,261,486,554,428,872,248352
823,261,486,554,428,872,1150,248352
261,486,554,428,872,1150,570,248352
486,554,428,872,1150,570,445,248352
554,428,872,1150,570,445,310,248352
428,872,1150,570,445,310,343,248352
872,1150,570,445,310,343,345,248352
1150,570,445,310,343,345,385,248352
570,445,310,343,345,385,369,248352
445,310,343,345,385,369,361,248352
310,343,345,385,369,361,269,248352
343,345,385,369,361,269,260,248352
9,138,156,95,215,190,163,249875
138,156,95,215,190,163,95,249875
156,95,215,190,163,95,112,249875
95,215,190,163,95,112,180,249875
215,190,163,95,112,180,147,249875
190,163,95,112,180,147,138,249875
29,43,50,65,158,151,166,250658
43,50,65,158,151,166,173,250658
50,65,158,151,166,173,122,250658
65,158,151,166,173,122,238,250658
158,151,166,173,122,238,86,250658
151,166,173,122,238,86,130,250658
166,173,122,238,86,130,144,250658
173,122,238,86,130,144,115,250658
122,238,86,130,144,115,180,250658
238,86,130,144,115,180,151,250658
86,130,144,115,180,151,144,250658
130,144,115,180,151,144,187,250658
144,115,180,151,144,187,288,250658
115,180,151,144,187,288,187,250658
26,64,83,122,51,237,269,265980
64,83,122,51,237,269,211,265980
83,122,51,237,269,211,250,265980
122,51,237,269,211,250,244,265980
51,237,269,211,250,244,198,265980
237,269,211,250,244,198,825,265980
269,211,250,244,198,825,563,265980
211,250,244,198,825,563,404,265980
250,244,198,825,563,404,236,265980
244,198,825,563,404,236,288,265980
198,825,563,404,236,288,230,265980
825,563,404,236,288,230,243,265980
563,404,236,288,230,243,307,265980
404,236,288,230,243,307,160,265980
236,288,230,243,307,160,262,265980
288,230,243,307,160,262,256,265980
230,243,307,160,262,256,288,265980
243,307,160,262,256,288,928,265980
307,160,262,256,288,928,570,265980
160,262,256,288,928,570,384,265980
262,256,288,928,570,384,211,265980
256,288,928,570,384,211,211,265980
288,928,570,384,211,211,224,265980
928,570,384,211,211,224,237,265980
570,384,211,211,224,237,211,265980
384,211,211,224,237,211,211,265980
211,211,224,237,211,211,262,265980
211,224,237,211,211,262,199,265980
224,237,211,211,262,199,211,265980
237,211,211,262,199,211,505,265980
211,211,262,199,211,505,529,265980
211,262,199,211,505,529,580,265980
262,199,211,505,529,580,359,265980
199,211,505,529,580,359,237,265980
211,505,529,580,359,237,276,265980
505,529,580,359,237,276,300,265980
529,580,359,237,276,300,338,265980
580,359,237,276,300,338,269,265980
359,237,276,300,338,269,269,265980
237,276,300,338,269,269,339,265980
276,300,338,269,269,339,313,265980
300,338,269,269,339,313,287,265980
338,269,269,339,313,287,325,265980
269,269,339,313,287,325,248,265980
269,339,313,287,325,248,218,265980
339,313,287,325,248,218,217,265980
313,287,325,248,218,217,205,265980
287,325,248,218,217,205,173,265980
325,248,218,217,205,173,217,265980
248,218,217,205,173,217,288,265980
218,217,205,173,217,288,294,265980
217,205,173,217,288,294,282,265980
205,173,217,288,294,282,378,265980
173,217,288,294,282,378,230,265980
217,288,294,282,378,230,307,265980
288,294,282,378,230,307,340,265980
294,282,378,230,307,340,230,265980
282,378,230,307,340,230,269,265980
378,230,307,340,230,269,212,265980
230,307,340,230,269,212,236,265980
307,340,230,269,212,236,198,265980
340,230,269,212,236,198,461,265980
230,269,212,236,198,461,204,265980
58,691,1689,1229,1200,759,759,270690
691,1689,1229,1200,759,759,951,270690
1689,1229,1200,759,759,951,923,270690
1229,1200,759,759,951,923,1325,270690
1200,759,759,951,923,1325,884,270690
759,759,951,923,1325,884,969,270690
759,951,923,1325,884,969,893,270690
951,923,1325,884,969,893,1046,270690
923,1325,884,969,893,1046,1287,270690
1325,884,969,893,1046,1287,710,270690
884,969,893,1046,1287,710,1075,270690
969,893,1046,1287,710,1075,1046,270690
893,1046,1287,710,1075,1046,749,270690
1046,1287,710,1075,1046,749,797,270690
1287,710,1075,1046,749,797,1075,270690
710,1075,1046,749,797,1075,1085,270690
1075,1046,749,797,1075,1085,1124,270690
1046,749,797,1075,1085,1124,1565,270690
749,797,1075,1085,1124,1565,691,270690
797,1075,1085,1124,1565,691,1497,270690
1075,1085,1124,1565,691,1497,1095,270690
1085,1124,1565,691,1497,1095,692,270690
1124,1565,691,1497,1095,692,826,270690
1565,691,1497,1095,692,826,864,270690
691,1497,1095,692,826,864,883,270690
1497,1095,692,826,864,883,701,270690
1095,692,826,864,883,701,806,270690
692,826,864,883,701,806,595,270690
965,650,745,759,863,679,891,281301
650,745,759,863,679,891,606,281301
745,759,863,679,891,606,767,281301
759,863,679,891,606,767,841,281301
863,679,891,606,767,841,1044,281301
679,891,606,767,841,1044,679,281301
